22EA235 450 200 100

1000085320 P N 0.2
1000255961 P N 0.1
1000511923 P N 0.3
1000853206 P N 0.3
1001279810 P N 0.4
1001791735 P N 0.3
1002388981 P N 0.4
1003071548 P N 0.5
1003839436 P N 0.5
1004692645 P N 0.4
1005631175 P N 0.3
1006655026 P N 0.5
1007764198 P N 0.5
1008958691 P N 0.2
1010238505 P N 0.3
1011603640 P N 0.3
1013054096 P N 0.5
1014589873 P N 0.3
1016210971 P N 0.2
1017917390 P N 0.5
1019709130 P N 0.2
1020333123 P T 0.4
1020986830 P T 0.3
1021670251 P T 0.5
1022383386 P T 0.3
1023126235 P T 0.3
1023898798 P T 0.3
1024701075 P T 0.4
1025533066 P T 0.5
1026806484 P S 0.2
1028123813 P S 0.1
1029485053 P S 0.4
1030712444 K N 1.1
1031978191 K N 1.1
1033282294 K N 1.1
1034624753 K N 1.5
1036005568 K N 0.6
1037424739 K N 0.8
1038882266 K N 1.0
1040378149 K N 1.3
1041912388 K N 1.5
1043484983 K N 0.9
1045457848 K T 0.7
1047477686 K T 0.9
1049544497 K T 0.7
1051658281 K T 1.4
1053819038 K T 1.3
1056026768 K T 1.1
1058281471 K T 0.7
1060583147 K T 1.0
1062565796 K S 1.2
1064588098 K S 0.9
1066650053 K S 0.6
1068751661 K S 0.7
1070892922 K S 0.6
1073073836 K S 0.9
1075294403 K S 1.2
1077554623 K S 1.0
1079779270 B N 4.5
1082042273 B N 5.5
1084343632 B N 4.9
1086683347 B N 4.9
1089061418 B N 3.6
1091477845 B N 1.6
1093932628 B N 4.7
1096425767 B N 4.5
1098957262 B N 3.4
1101527113 B N 2.6
1104135320 B N 6.4
1106781883 B N 2.3
1110069992 B T 4.4
1113405074 B T 3.4
1116787129 B T 2.9
1120216157 B T 4.1
1123692158 B T 2.8
1126666132 B S 5.0
1129679759 B S 2.7
1132733039 B S 5.3
1135825972 B S 4.1
1138958558 B S 5.9
1139614477 S N 13.1
1140278595 S N 16.3
1140950912 S N 15.8
1145811142 S T 16.6
1150729929 S T 14.5
1153732638 S S 2.7
1156770673 S S 15.4
1159844034 S S 9.1
1162952721 S S 6.8
1166096734 S S 3.2
